REGIAO_ORIGEM,UF,DATE,TMIN,TMAX,PREC
Paraná,PR,1964-07-01,14.958587226114775,27.174875789567043,1458.608964819657
Pernambuco,PE,1964-07-01,18.303244576087366,27.865672243558443,1386.8612830528846
Pinhal,SP,1964-07-01,14.510491334475004,25.952467331519493,1469.1139103816106
Planalto Central,DF,1964-07-01,16.18617015414768,26.757300129643195,1581.340424714265
Planalto de Vitória da Conquista,BA,1964-07-01,16.276915784467732,26.746021488256623,940.266163073088
Rondônia,RO,1964-07-01,19.929067651354497,32.046973604921035,2131.4203777447465
Serrana de Itiruçu/Brejões,BA,1964-07-01,17.381250248398892,26.336159484331,1247.9112605605014
Serrana do Rio de Janeiro,RJ,1964-07-01,14.583746554804783,24.46056874593099,1796.1839671415441
Sul de Minas,MG,1964-07-01,13.984687606048585,25.0526275970459,1582.0308328125
Sul do Rio de Janeiro,RJ,1964-07-01,15.195345487350073,25.750771253536907,1487.426501151843
Acre,AC,1965-07-02,19.675227931995487,30.263281723961757,2043.995296919166
Alta Mogiana,SP,1965-07-02,15.699974553338413,26.94832417060589,1786.5686456088363
Atlântico Baiano,BA,1965-07-02,20.04557360470567,28.037545382704366,1159.498112648045
Campo das Vertentes,MG,1965-07-02,14.764293235891005,25.71475301069372,1563.0990959616267
Caparaó,ES,1965-07-02,15.185076411177473,25.451580745417896,1623.6514029153964
Ceará,CE,1965-07-02,19.85872110694346,30.366125299473,1261.4264218108822
Cerrado Mineiro,MG,1965-07-02,16.199111602814796,28.251915175475443,1603.1951999703797
Chapada Diamantina,BA,1965-07-02,16.670444924592086,27.272311178725005,639.7080547800738
Chapada de Minas,MG,1965-07-02,16.37945980058446,28.45993015520089,990.7044549147854
Conilon Capixaba,ES,1965-07-02,20.120770224818475,29.600293742285835,1080.7439292625145
Goiás,GO,1965-07-02,17.009606049110573,29.251277393935005,1688.052414797665
Mantiqueira de Minas,MG,1965-07-02,13.318260229550875,25.303996819716232,1890.4258610652043
Marília e Garça,SP,1965-07-02,16.01922787560357,28.994145838419595,1661.5651312934028
Matas de Minas,MG,1965-07-02,16.13702832735502,26.433209319214722,1385.6486043863363
Matas de Rondônia,RO,1965-07-02,19.63125344428463,32.18169534655585,2171.729654240263
Mato Grosso,MT,1965-07-02,19.47150811030615,32.19619994025212,2277.285043646679
Montanhas de Minas,MG,1965-07-02,16.496800035462343,26.924350143375253,1584.294411680752
Montanhas do Espírito Santo,ES,1965-07-02,16.513905817667645,26.07489835103353,1436.5035815429687
Média Mogiana,SP,1965-07-02,14.58187398703202,26.094571548959482,1728.1498996900475
Noroeste/Norte do Rio de Janeiro,RJ,1965-07-02,18.61060149760186,28.710970673380018,1413.6746192642406
Norte Pioneiro do Paraná,PR,1965-07-02,15.077075674178753,27.958861033121746,1623.150020085328
Norte e Noroeste de Minas,MG,1965-07-02,17.051544935614974,29.840796806194163,1628.1198538321037
Oeste da Bahia,BA,1965-07-02,16.482415784489024,30.0844070669164,916.6906058979545
Ourinhos e Avaré,SP,1965-07-02,15.26057287441787,26.982995002500473,1694.4174174647178
Paraná,PR,1965-07-02,15.608266736331739,27.194356783440238,1973.3262820996736
Pernambuco,PE,1965-07-02,18.32066981975849,28.170900344848633,932.0147395207332
Pinhal,SP,1965-07-02,15.065791056706356,26.609063955453728,1747.055410531851
Planalto Central,DF,1965-07-02,16.294442847922998,27.167723267166703,1860.7419478804977
Planalto de Vitória da Conquista,BA,1965-07-02,16.77015739574767,27.781274168114912,593.2570519698294
Rondônia,RO,1965-07-02,19.81673512364227,32.35795064866352,1991.5073707663548
Serrana de Itiruçu/Brejões,BA,1965-07-02,17.944477846456127,27.212452755417935,653.7253496036973
Serrana do Rio de Janeiro,RJ,1965-07-02,15.153926681069766,25.890949062272615,1765.8101184321386
Sul de Minas,MG,1965-07-02,14.229544944000244,25.556902624511718,1805.3008078125
Sul do Rio de Janeiro,RJ,1965-07-02,15.733379853077423,26.70468584696452,1906.7008244441106
Acre,AC,1966-07-02,19.984844375495335,30.566661175770975,2308.5365606720125
Alta Mogiana,SP,1966-07-02,15.405668686176169,27.60644343803669,1805.8651017813847
Atlântico Baiano,BA,1966-07-02,19.89767396831077,27.601338956998365,1148.0409314577983
Campo das Vertentes,MG,1966-07-02,14.56217622756958,26.26559854956234,1411.6499202952666
Caparaó,ES,1966-07-02,15.029920554742581,25.536921524420016,1289.612090320122
Ceará,CE,1966-07-02,21.328373648903586,31.462250102650035,699.6168518066406
Cerrado Mineiro,MG,1966-07-02,16.01945169816106,28.32300391108353,1645.4623797240959
Chapada Diamantina,BA,1966-07-02,16.595643227871467,26.47939764256814,925.4657073180472
Chapada de Minas,MG,1966-07-02,16.28939085312161,28.567932671923653,934.0618927762177
Conilon Capixaba,ES,1966-07-02,20.107110253086798,29.53555705812242,938.2501198097511
Goiás,GO,1966-07-02,16.816313694606432,29.380624982365443,1657.276426361231
Mantiqueira de Minas,MG,1966-07-02,13.001330650769747,25.70332571176382,1613.3348693847656
Marília e Garça,SP,1966-07-02,16.13856430053711,29.614889526367186,1134.7419148763022
Matas de Minas,MG,1966-07-02,15.896523268906387,26.614824054958103,1102.4592443079382
Matas de Rondônia,RO,1966-07-02,19.563806622270224,32.52957589522652,1624.3319746376812
Mato Grosso,MT,1966-07-02,19.800092496306718,32.452032857704886,1711.5059061327017
Montanhas de Minas,MG,1966-07-02,16.344367527423945,27.23054708036265,1334.4454941140082
Montanhas do Espírito Santo,ES,1966-07-02,16.36164702097575,26.030452321370444,1159.0923486328124
Média Mogiana,SP,1966-07-02,14.586291489393815,26.681485735851787,1505.1414158033288
Noroeste/Norte do Rio de Janeiro,RJ,1966-07-02,18.485163543797746,28.85038252721859,1280.8058865704113
